Giorno;Utenti serviti;Media Utenti serviti;Tot Servizio 1 erogati;Tot Servizio 2 erogati;Tot Servizio 3 erogati;Tot Servizio 4 erogati;Tot Servizio 5 erogati;Tot Servizio 6 erogati;Tot Servizio 1 non erogati;Tot Servizio 2 non erogati;Tot Servizio 3 non erogati;Tot Servizio 4 non erogati;Tot Servizio 5 non erogati;Tot Servizio 6 non erogati;Tempo medio attesa utenti (min);Tempo erogazione servizio 1;Tempo erogazione servizio 2;Tempo erogazione servizio 3;Tempo erogazione servizio 4;Tempo erogazione servizio 5;Tempo erogazione servizio 6;Media tempo erogazione servizio 1;Media tempo erogazione servizio 2;Media tempo erogazione servizio 3;Media tempo erogazione servizio 4;Media tempo erogazione servizio 5;Media tempo erogazione servizio 6;Operatori attivi;Pause effettuate al gg;Rapporto Operatori/Sportelli(1);Rapporto Operatori/Sportelli(2);Rapporto Operatori/Sportelli(3);Rapporto Operatori/Sportelli(4);Rapporto Operatori/Sportelli(5);Rapporto Operatori/Sportelli(6)
1;2;0.20;0;1;0;1;0;0;0;0;0;0;0;0;0.28;0.00;0.16;0.00;0.15;0.00;0.00;0;0.16;0;0.15;0;0;5;0;2.0000;0.0000;0.5000;1.0000;4.0000;1.0000;
2;3;0.30;0;0;0;1;1;1;0;0;0;0;0;0;0.44;0.00;0.00;0.00;0.20;0.24;0.12;0;0;0;0.20;0.24;0.12;5;0;0.0000;1.5000;0.0000;0.5000;0.0000;0.5000;
3;5;0.50;0;3;0;1;0;1;0;0;0;0;0;0;0.75;0.00;0.48;0.00;0.16;0.00;0.23;0;0.16;0;0.16;0;0.23;5;0;0.0000;1.5000;0.0000;0.5000;0.0000;0.5000;



STATISTICHE FINALI
Utenti serviti totali;Media Utenti serviti totali;Tot Servizio 1 erogati;Tot Servizio 2 erogati;Tot Servizio 3 erogati;Tot Servizio 4 erogati;Tot Servizio 5 erogati;Tot Servizio 6 erogati;Tot Servizio 1 non erogati;Tot Servizio 2 non erogati;Tot Servizio 3 non erogati;Tot Servizio 4 non erogati;Tot Servizio 5 non erogati;Tot Servizio 6 non erogati;Servizio 1 erogato in media al giorno;Servizio 2 erogato in media al giorno;Servizio 3 erogato in media al giorno;Servizio 4 erogato in media al giorno;Servizio 5 erogato in media al giorno;Servizio 6 erogato in media al giorno;Servizio 1 non erogato in media al giorno;Servizio 2 non erogato in media al giorno;Servizio 3 non erogato in media al giorno;Servizio 4 non erogato in media al giorno;Servizio 5 non erogato in media al giorno;Servizio 6 non erogato in media al giorno;Tempo medio attesa utenti Tot(min);Tempo erogazione servizio 1;Tempo erogazione servizio 2;Tempo erogazione servizio 3;Tempo erogazione servizio 4;Tempo erogazione servizio 5;Tempo erogazione servizio 6;Media tempo erogazione servizio 1;Media tempo erogazione servizio 2;Media tempo erogazione servizio 3;Media tempo erogazione servizio 4;Media tempo erogazione servizio 5;Media tempo erogazione servizio 6;Operatori Totali attivi;Pause Totali effettuate al gg;Operatori al gg;Rapporto Operatori/Sportelli(1);Rapporto Operatori/Sportelli(2);Rapporto Operatori/Sportelli(3);Rapporto Operatori/Sportelli(4);Rapporto Operatori/Sportelli(5);Rapporto Operatori/Sportelli(6)
10;3.33333;0;4;0;3;1;2;0;0;0;0;0;0;0.00000;1.33333;0.00000;1.00000;0.33333;0.66667;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.47700;0.00000;0.64000;0.00000;0.51200;0.23700;0.34200;0.00000;0.21333;0.00000;0.17067;0.07900;0.11400;15;0;5.00000;6.00000;2.25000;1.50000;0.60000;12.00000;0.60000;
